WORD	QL	OTHER	RELATION	LLR	PEARSONRESID	LOGODDSRATIO	PMI	DELTAPC2W	DELTAPW2C	KLDC2W	KLDW2C
高張	1	2	attraction	13.1356170969322	39.9679154368231	7.78449733216538	10.6433454206203	0.0018340974291856	0.333125308388695	0.0168860093808872	3.15800727254663
嘟囔	1	3	attraction	12.4564370434145	34.6060119485938	7.37903184157678	10.2283079213415	0.00183371495111785	0.249791974975813	0.016125023357648	2.24602438029945
心癢	1	3	attraction	12.4564370434145	34.6060119485938	7.37903184157678	10.2283079213415	0.00183371495111785	0.249791974975813	0.016125023357648	2.24602438029945
元加	1	4	attraction	11.9515100579634	30.9461019438921	7.09134938664654	9.90637982645411	0.0018333324730501	0.199791974896265	0.0155348802784566	1.72397404876569
勃	1	4	attraction	11.9515100579634	30.9461019438921	7.09134938664654	9.90637982645411	0.0018333324730501	0.199791974896265	0.0155348802784566	1.72397404876569
多愁善感	1	4	attraction	11.9515100579634	30.9461019438921	7.09134938664654	9.90637982645411	0.0018333324730501	0.199791974896265	0.0155348802784566	1.72397404876569
大站	1	4	attraction	11.9515100579634	30.9461019438921	7.09134938664654	9.90637982645411	0.0018333324730501	0.199791974896265	0.0155348802784566	1.72397404876569
筆畫	1	4	attraction	11.9515100579634	30.9461019438921	7.09134938664654	9.90637982645411	0.0018333324730501	0.199791974896265	0.0155348802784566	1.72397404876569
鬥	1	4	attraction	11.9515100579634	30.9461019438921	7.09134938664654	9.90637982645411	0.0018333324730501	0.199791974896265	0.0155348802784566	1.72397404876569
攀談	2	9	attraction	23.4840886214075	41.7233626368472	6.97540436566938	9.76887630270417	0.00366628246803244	0.181610538637119	0.0305705660957815	1.53953630397564
富麗堂皇	1	5	attraction	11.5492158804073	28.2439032361763	6.86820545285359	9.64334542062032	0.00183294999498234	0.166458641483383	0.0150527990142532	1.38827948126768
當家作主	1	5	attraction	11.5492158804073	28.2439032361763	6.86820545285359	9.64334542062032	0.00183294999498234	0.166458641483383	0.0150527990142532	1.38827948126768
要學	1	5	attraction	11.5492158804073	28.2439032361763	6.86820545285359	9.64334542062032	0.00183294999498234	0.166458641483383	0.0150527990142532	1.38827948126768
